ticker,pack,scope,strat_pct,bh_pct,alpha_pct,sharpe,max_dd_pct,trades,win_rate
1471,pack_g,S1_trump1,-5.98,1.78,-7.76,0.044,42.31,1,
1471,pack_g,S2_late,-34.55,-52.3,17.75,-1.659,43.79,1,
1471,pack_g,S3_covid,92.31,289.08,-196.77,1.178,56.18,1,
1471,pack_g,S4_hike,75.25,101.69,-26.44,1.32,24.59,1,
1471,pack_g,S5_ai,-10.99,-36.13,25.14,-0.381,17.8,1,
1582,pack_a,total,0.12,158.47,-158.34,0.068,26.25,20,30.0
1582,pack_a,S1_trump1,-6.13,19.0,-25.13,-0.585,9.21,6,16.7
1582,pack_a,S2_late,-0.51,41.84,-42.35,0.018,8.15,2,50.0
1582,pack_a,S3_covid,-12.92,-7.55,-5.37,-1.331,17.64,4,25.0
1582,pack_a,S4_hike,7.3,9.42,-2.12,0.777,5.51,4,33.3
1582,pack_a,S5_ai,-9.26,46.46,-55.72,-0.224,21.89,4,25.0
1582,pack_b,total,3.14,158.47,-155.33,0.11,40.55,38,31.6
1582,pack_b,S1_trump1,-7.74,19.0,-26.74,-0.447,16.99,12,25.0
1582,pack_b,S2_late,-4.06,41.84,-45.9,-0.333,9.32,4,25.0
1582,pack_b,S3_covid,-8.4,-7.55,-0.85,-0.402,13.06,6,33.3
1582,pack_b,S4_hike,10.54,9.42,1.12,1.001,6.02,5,50.0
1582,pack_b,S5_ai,-25.88,46.46,-72.35,-0.668,40.55,9,22.2
1582,pack_c,total,2.06,158.47,-156.41,0.1,37.37,36,33.3
1582,pack_c,S1_trump1,-7.74,19.0,-26.74,-0.447,16.99,12,25.0
1582,pack_c,S2_late,-4.06,41.84,-45.9,-0.333,9.32,4,25.0
1582,pack_c,S3_covid,-12.47,-7.55,-4.92,-0.667,16.77,6,33.3
1582,pack_c,S4_hike,7.93,9.42,-1.49,0.848,6.02,4,50.0
1582,pack_c,S5_ai,-21.92,46.46,-68.38,-0.548,37.37,8,25.0
1582,pack_d,total,-49.94,158.47,-208.41,-0.595,49.94,103,22.3
1582,pack_d,S1_trump1,-23.08,19.0,-42.08,-1.861,25.9,25,16.0
1582,pack_d,S2_late,-0.45,41.84,-42.29,0.014,12.39,11,36.4
1582,pack_d,S3_covid,-11.64,-7.55,-4.09,-0.509,20.96,21,30.0
1582,pack_d,S4_hike,3.02,9.42,-6.4,0.351,9.71,16,26.7
1582,pack_d,S5_ai,-30.94,46.46,-77.4,-0.863,38.38,27,14.8
1582,pack_e,total,18.41,158.47,-140.06,0.234,23.49,3,50.0
1582,pack_e,S1_trump1,0.0,19.0,-19.0,inf,,0,
1582,pack_e,S2_late,0.0,41.84,-41.84,inf,,0,
1582,pack_e,S3_covid,-3.79,-7.55,3.76,-1.193,3.92,1,0.0
1582,pack_e,S4_hike,0.0,9.42,-9.42,inf,,0,
1582,pack_e,S5_ai,-6.42,46.46,-52.88,-0.334,11.08,2,0.0
1582,pack_f,total,-12.77,158.47,-171.24,-0.08,32.5,21,45.0
1582,pack_f,S1_trump1,0.45,19.0,-18.55,0.079,6.6,3,66.7
1582,pack_f,S2_late,2.59,41.84,-39.25,0.537,4.05,2,100.0
1582,pack_f,S3_covid,-11.34,-7.55,-3.79,-1.883,13.61,3,33.3
1582,pack_f,S4_hike,0.0,9.42,-9.42,inf,,0,
1582,pack_f,S5_ai,-13.78,46.46,-60.24,-0.685,18.07,3,0.0
1582,pack_g,total,31.02,158.47,-127.45,0.326,29.81,1,
1582,pack_g,S1_trump1,-5.31,19.0,-24.31,-0.271,18.81,1,
1582,pack_g,S2_late,9.72,41.84,-32.12,0.985,8.03,1,
1582,pack_g,S3_covid,-4.66,-7.55,2.89,-0.226,21.47,1,
1582,pack_g,S4_hike,6.41,9.42,-3.01,0.784,7.4,1,
1582,pack_g,S5_ai,1.99,46.46,-44.47,0.159,21.83,1,
2059,pack_a,total,105.69,1517.06,-1411.37,0.642,33.97,20,31.6
2059,pack_a,S1_trump1,-12.14,-6.98,-5.16,-0.965,14.73,4,0.0
2059,pack_a,S2_late,-3.25,14.18,-17.43,-0.299,11.03,3,66.7
2059,pack_a,S3_covid,13.57,58.12,-44.55,0.829,5.82,3,50.0
2059,pack_a,S4_hike,89.84,43.63,46.21,2.018,21.38,3,33.3
2059,pack_a,S5_ai,4.35,623.59,-619.24,0.23,22.71,4,0.0
2059,pack_b,total,177.2,1517.06,-1339.87,0.721,35.7,39,36.8
2059,pack_b,S1_trump1,-16.72,-6.98,-9.75,-0.768,23.32,10,20.0
2059,pack_b,S2_late,-3.25,14.18,-17.43,-0.299,11.03,3,66.7
2059,pack_b,S3_covid,44.41,58.12,-13.71,1.455,12.98,8,28.6
2059,pack_b,S4_hike,67.14,43.63,23.51,1.519,21.38,6,33.3
2059,pack_b,S5_ai,48.67,623.59,-574.92,0.848,35.7,10,44.4
2059,pack_c,total,228.09,1517.06,-1288.97,0.833,35.7,34,39.4
2059,pack_c,S1_trump1,-14.88,-6.98,-7.91,-0.706,21.63,8,12.5
2059,pack_c,S2_late,-3.25,14.18,-17.43,-0.299,11.03,3,66.7
